AT1G03680.1_66_179	AtTRXm1
AT1G04980.1_160_275	AtPDI10b
AT1G04980.1_25_139	AtPDI10a
AT1G04980.1_281_395	AtPDI10
AT1G07700.1_52_201	AtTRXLilium5
AT1G07960.1_2_146	AtPDIL5-1
AT1G08570.1_66_206	AtTRXLilium1
AT1G11530.1_0_111	AtCXXS2
AT1G14570.1_163_295	
AT1G15020.1_34_170	AtQSOX1
AT1G19730.1_0_115	AtTRXh4
AT1G21750.1_11_142	AtPDIL1-1
AT1G21750.1_146_482	AtPDI5a
AT1G21750.2_146_482	AtPDI5b
AT1G31020.1_42_159	AtTRXo2
AT1G34780.1_48_168	AtAPRL4
AT1G35620.1_15_139	AtPDI8
AT1G43560.1_45_164	AtTRXy2
AT1G45145.1_0_113	AtTRXh5
AT1G50320.1_19_178	AtTRXx
AT1G50950.1_110_264	
AT1G52260.1_187_526	AtPDI3b
AT1G52260.1_57_184	AtPDI3a
AT1G52990.1_192_313	AtTRXTARWCGPC
AT1G53300.1_370_697	AtTTL1
AT1G56500.1_358_536	
AT1G59730.1_5_129	AtTRXh7
AT1G60420.1_17_172	AtTRXNucleor1a
AT1G60420.1_324_485	AtTRXNucleor1b
AT1G62180.1_332_454	AtAPS2
AT1G69880.1_0_145	AtTRXh8
AT1G76080.1_179_289	AtTRXCDSP32b
AT1G76080.1_76_174	AtTRXCDSP32a
AT1G76760.1_4_169	AtTRXy1
AT1G77510.1_12_141	AtPDI6a
AT1G77510.1_143_481	AtPDI6b
AT2G01270.1_28_164	AtQSOX2
AT2G15570.1_46_173	AtTRXm3
AT2G18990.1_5_179	AtTXND9
AT2G32920.1_153_269	AtPDI9b
AT2G32920.1_23_136	AtPDI9a
AT2G33270.1_61_202	AtTRXLilium4
AT2G35010.1_38_194	AtTRXo1
AT2G40790.1_22_148	AtCXXS1
AT2G41680.1_402_529	AtNTRC
AT2G42580.1_457_690	AtTTL3
AT2G47470.1_15_251	AtPDI11
AT3G03860.1_45_159	AtAPRL5
AT3G06730.1_50_183	AtTRXCI
AT3G08710.1_18_132	AtTRXh9
AT3G14950.1_647_717	AtTTL2
AT3G15360.1_71_192	AtTRXm4
AT3G16110.1_185_524	AtPDI4b
AT3G16110.1_38_182	AtPDI4a
AT3G17880.1_225_378	AtTRXTDX
AT3G20560.1_132_263	AtPDI12
AT3G25580.1_5_179	
AT3G50960.1_37_197	AtPLP3a
AT3G51030.1_0_114	AtTRXh1
AT3G53220.1_4_126	AtTRXWCGVC
AT3G54960.1_80_204	AtPDI1
AT3G56420.1_23_148	AtTRXCXXC2
AT3G58620.1_210_681	AtTTL4
AT4G03200.1_78_241	
AT4G03520.1_44_186	AtTRXm2b
AT4G03520.2_0_71	AtTRXm2a
AT4G04610.1_343_465	AtAPS1
AT4G04950.1_0_107	AtTRXPicot1
AT4G08930.1_55_161	AtAPRL6
AT4G12170.1_5_117	
AT4G14250.2_494_618	
AT4G21990.1_336_458	AtAPS3
AT4G26160.1_67_202	AtACHT1
AT4G27080.1_119_263	AtPDI7
AT4G29670.1_70_212	AtTRXLilium2b
AT4G29670.2_70_220	AtTRXLilium2a
AT4G31240.1_16_171	AtTRXNucleor2
AT4G32580.1_0_107	AtTRXPicot2
AT4G37200.1_100_230	AtTRXHCF164
AT5G04260.1_65_191	AtTRXWCRKC2
AT5G06690.1_80_210	AtTRXWCRKC1b
AT5G06690.2_100_167	AtTRXWCRKC1a
AT5G16400.1_58_184	AtTRXf2
AT5G18120.1_40_155	AtAPRL7
AT5G39950.1_5_133	AtTRXh2
AT5G42980.1_0_113	AtTRXh3
AT5G60640.1_211_550	AtPDI2a
AT5G60640.1_84_208	AtPDI2
AT5G60640.2_211_536	AtPDI2b
AT5G60640.3_211_486	AtPDI2c
AT5G61440.1_53_218	AtTRXLilium3
AT5G66410.1_42_198	AtPLP3b
